lotNumber,vendor,name,vendorItemNo,quantity,price,type
6345Y,LY,somatropin 72 units (24 mg) injection [1 cartridge] (&) inert substance diluent [3.15 mL syringe]; 1 pack,Humatrope,1,997.92,Medication
6476W,SZ,somatropin 15 units (5 mg/1.5 mL) injection; 1.5 mL cartridge,Omnitrope,1,207.9,Medication
9585L,PF,SOMATROPIN (Recombinant human growth hormone) Powder for injection 5 mg (15 i.u.) with diluent in pre-filled pen (with preservative); 1,Genotropin GoQuick,1,207.9,Medication
9586M,PF,SOMATROPIN (Recombinant human growth hormone) Powder for injection 12 mg (36 i.u.) with diluent in pre-filled pen (with preservative); 1,Genotropin GoQuick,1,498.96,Medication
9604L,IS,somatropin 30 units (10 mg/2 mL) injection; 2 mL cartridge,NutropinAq,1,415.8,Medication
9628R,PF,somatropin 1.8 units (600 microgram) injection [7] (&) inert substance diluent [7 x 0.25 mL syringes]; 1 pack,Genotropin MiniQuick,7,174.64,Medication
10266H,VI,zidovudine 100 mg capsule; 100,Retrovir,400,195.19,Medication
10271N,BQ,stavudine 30 mg capsule; 60,Zerit,120,317,Medication
10272P,VE,lopinavir 200 mg + ritonavir 50 mg tablet; 120,Kaletra,240,680.89,Medication
10273Q,VE,ritonavir 100 mg tablet; 30,Norvir,720,38.9,Medication
10274R,GI,emtricitabine 200 mg capsule; 30,Emtriva,60,267.9,Medication
10275T,MK,efavirenz 30 mg/mL oral liquid; 180 mL,Stocrin,7,77.4,Medication
10276W,BQ,atazanavir 150 mg capsule; 60,Reyataz,120,495.81,Medication
10277X,RO,valganciclovir 50 mg/mL powder for oral liquid; 100 mL,Valcyte,11,395.1,Medication
10278Y,RO,peginterferon alfa-2a 180 microgram/0.5 mL injection; 4 x 0.5 mL syringes,Pegasys,8,1282.72,Medication
10279B,SZ,entecavir monohydrate 500 microgram tablet; 30,Entecavir Sandoz,60,306.68,Medication
10279B,RA,entecavir monohydrate 500 microgram tablet; 30,ENTECAVIR RBX,60,306.68,Medication
10279B,AF,entecavir monohydrate 500 microgram tablet; 30,Entecavir Mylan,60,306.68,Medication
10279B,RW,entecavir monohydrate 500 microgram tablet; 30,ENTECLUDE,60,306.68,Medication
10279B,EA,entecavir monohydrate 500 microgram tablet; 30,Entecavir Amneal,60,306.68,Medication
10279B,BQ,entecavir monohydrate 500 microgram tablet; 30,Baraclude,60,306.68,Medication
10279B,TX,entecavir monohydrate 500 microgram tablet; 30,Entecavir APOTEX,60,306.68,Medication
10280C,RO,peginterferon alfa-2a 135 microgram/0.5 mL injection; 4 x 0.5 mL syringes,Pegasys,8,1107.61,Medication
10283F,VI,dolutegravir 50 mg tablet; 30,Tivicay,60,665.55,Medication
10284G,VI,lamivudine 150 mg + zidovudine 300 mg tablet; 60,Combivir,120,351.75,Medication
10284G,AF,lamivudine 150 mg + zidovudine 300 mg tablet; 60,Lamivudine 150 mg + Zidovudine 300 mg Alphapharm,120,351.75,Medication
10285H,VE,lopinavir 100 mg + ritonavir 25 mg tablet; 60,Kaletra,120,170.22,Medication
10286J,MK,raltegravir 400 mg tablet; 60,Isentress,120,632.27,Medication
10287K,JC,darunavir 150 mg tablet; 240,Prezista,240,996.27,Medication
10288L,PF,clozapine 200 mg tablet; 100,Clopine 200,200,242.38,Medication
10289M,NV,clozapine 25 mg tablet; 100,Clozaril 25,200,32.32,Medication
10289M,PF,clozapine 25 mg tablet; 100,Clopine 25,200,32.32,Medication
10290N,GI,adefovir dipivoxil 10 mg tablet; 30,Hepsera,60,525,Medication
10290N,TX,adefovir dipivoxil 10 mg tablet; 30,APO-Adefovir,60,525,Medication
10291P,MK,interferon alfa-2b 18 million units/1.2 mL injection; 1.2 mL,Intron A Redipen,2,169.8,Medication
10292Q,MK,interferon alfa-2b 60 million units/1.2 mL injection; 1.2 mL,Intron A Redipen,2,566.01,Medication
10294T,VI,abacavir 300 mg tablet; 60,Ziagen,120,267.9,Medication
10297Y,GI,tenofovir disoproxil fumarate 300 mg + emtricitabine 200 mg + efavirenz 600 mg tablet; 30,Atripla,60,984.85,Medication
10298B,JC,rilpivirine 25 mg tablet; 30,Edurant,60,271.58,Medication
10299C,MK,raltegravir 25 mg chewable tablet; 60,Isentress,360,80.16,Medication
10300D,VE,ritonavir 600 mg/7.5 mL oral liquid; 90 mL,Norvir,10,86.45,Medication
10301E,JC,etravirine 200 mg tablet; 60,Intelence,120,585.68,Medication
10302F,PF,clozapine 50 mg tablet; 100,Clopine 50,200,64.64,Medication
10303G,BY,nevirapine 400 mg modified release tablet; 30,Viramune XR,60,157.14,Medication
10304H,AF,nevirapine 200 mg tablet; 60,Nevirapine Alphapharm,120,157.14,Medication
10304H,RA,nevirapine 200 mg tablet; 60,Nevirapine RBX,120,157.14,Medication
10304H,BY,nevirapine 200 mg tablet; 60,Viramune,120,157.14,Medication
10305J,VI,abacavir 300 mg + lamivudine 150 mg + zidovudine 300 mg tablet; 60,Trizivir,120,613.45,Medication
10306K,RO,valganciclovir 450 mg tablet; 60,Valcyte,120,2133.51,Medication
10307L,GI,tenofovir disoproxil fumarate 300 mg + emtricitabine 200 mg + elvitegravir 150 mg + cobicistat 150 mg tablet; 30,Stribild,60,984.85,Medication
10310P,GI,tenofovir disoproxil fumarate 300 mg tablet; 30,Viread,60,458.95,Medication
10311Q,VI,lamivudine 300 mg tablet; 30,3TC,60,104.47,Medication
10311Q,AF,lamivudine 300 mg tablet; 30,Lamivudine Alphapharm,60,104.47,Medication
10311Q,RA,lamivudine 300 mg tablet; 30,Lamivudine RBX,60,104.47,Medication
10312R,BQ,stavudine 40 mg capsule; 60,Zerit,120,422.66,Medication
10313T,BQ,didanosine 400 mg enteric capsule; 30,Videx EC,60,310.45,Medication
10314W,GI,tenofovir disoproxil fumarate 300 mg + emtricitabine 200 mg + rilpivirine 25 mg tablet; 30,Eviplera,60,998.43,Medication
10315X,RW,lamivudine 100 mg tablet; 28,Zeffix,56,55.34,Medication
10315X,AF,lamivudine 100 mg tablet; 28,Zetlam,56,55.34,Medication
10316Y,MK,interferon alfa-2b 30 million units/1.2 mL injection; 1.2 mL,Intron A Redipen,2,283.01,Medication
10317B,RO,interferon alfa-2a 3 million units/0.5 mL injection; 0.5 mL syringe,Roferon-A,30,28.31,Medication
10318C,VI,maraviroc 150 mg tablet; 60,Celsentri,120,871.82,Medication
10319D,BY,nevirapine 10 mg/mL oral liquid; 240 mL,Viramune,10,135,Medication
10320E,VI,lamivudine 10 mg/mL oral liquid; 240 mL,3TC,8,55.98,Medication
10321F,BQ,atazanavir 300 mg capsule; 30,Reyataz,60,495.81,Medication
10326L,MK,raltegravir 100 mg chewable tablet; 60,Isentress,360,320.63,Medication
10327M,VE,lopinavir 400 mg/5 mL + ritonavir 100 mg/5 mL oral liquid; 60 mL,Kaletra,10,128.24,Medication
10328N,RO,ganciclovir 500 mg injection; 5 vials,Cymevene,10,266,Medication
10329P,JC,darunavir 600 mg tablet; 60,Prezista,120,996.27,Medication
10335Y,RO,saquinavir 500 mg tablet; 120,Invirase,240,480.28,Medication
10336B,MK,efavirenz 200 mg tablet; 90,Stocrin,180,258,Medication
10337C,VI,fosamprenavir 700 mg tablet; 60,Telzir,120,360.2,Medication
10338D,RW,lamivudine 5 mg/mL oral liquid; 240 mL,Zeffix,5,45.25,Medication
10339E,MK,interferon alfa-2b 25 million units/2.5 mL injection; 2.5 mL vial,Intron A,15,235.84,Medication
10340F,MK,interferon alfa-2b 18 million units/3 mL injection; 3 mL vial,Intron A,15,169.8,Medication
10341G,PF,clozapine 50 mg/mL oral liquid; 100 mL,Clopine Suspension,1,135,Medication
10344K,BY,tipranavir 250 mg capsule; 120,Aptivus,240,813.96,Medication
10345L,VI,dolutegravir 50 mg + abacavir 600 mg + lamivudine 300 mg tablet; 30,Triumeq,60,977.38,Medication
10347N,GI,tenofovir disoproxil fumarate 300 mg + emtricitabine 200 mg tablet; 30,Truvada,60,726.85,Medication
10348P,VI,lamivudine 150 mg tablet; 60,3TC,120,104.47,Medication
10348P,AF,lamivudine 150 mg tablet; 60,Lamivudine Alphapharm,120,104.47,Medication
10348P,RA,lamivudine 150 mg tablet; 60,Lamivudine RBX,120,104.47,Medication
10349Q,BQ,atazanavir 200 mg capsule; 60,Reyataz,120,661.09,Medication
10352W,LM,FOSCARNET SODIUM I.V. infusion 24 mg per mL; 250 mL bottle; 6,Foscavir,6,1118.63,Medication
10353X,EA,entecavir monohydrate 1 mg tablet; 30,Entecavir Amneal,60,498.75,Medication
10353X,BQ,entecavir monohydrate 1 mg tablet; 30,Baraclude,60,498.75,Medication
10353X,TX,entecavir monohydrate 1 mg tablet; 30,Entecavir APOTEX,60,498.75,Medication
10353X,RA,entecavir monohydrate 1 mg tablet; 30,ENTECAVIR RBX,60,498.75,Medication
10353X,RW,entecavir monohydrate 1 mg tablet; 30,ENTECLUDE,60,498.75,Medication
10353X,AF,entecavir monohydrate 1 mg tablet; 30,Entecavir Mylan,60,498.75,Medication
10353X,SZ,entecavir monohydrate 1 mg tablet; 30,Entecavir Sandoz,60,498.75,Medication
10354Y,RO,interferon alfa-2a 6 million units/0.5 mL injection; 0.5 mL syringe,Roferon-A,30,56.6,Medication
10355B,VI,maraviroc 300 mg tablet; 60,Celsentri,120,871.82,Medication
10356C,VI,abacavir 20 mg/mL oral liquid; 240 mL,Ziagen,8,78.03,Medication
10357D,VI,abacavir 600 mg + lamivudine 300 mg tablet; 30,Kivexa,60,372.37,Medication
10358E,NV,clozapine 100 mg tablet; 100,Clozaril 100,200,121.19,Medication
10358E,PF,clozapine 100 mg tablet; 100,Clopine 100,200,121.19,Medication
10360G,VI,zidovudine 250 mg capsule; 40,Retrovir,240,195.19,Medication
10361H,VI,zidovudine 50 mg/5 mL oral liquid; 200 mL,Retrovir,15,42.64,Medication
10363K,MK,indinavir 400 mg capsule; 180,Crixivan 400 mg,360,432.25,Medication
10364L,BQ,didanosine 250 mg enteric capsule; 30,Videx EC,60,194.03,Medication
10365M,RO,enfuvirtide 90 mg injection [60 vials] (&) inert substance diluent [60 x 1.1 mL vials]; 1 pack,Fuzeon,2,2102.35,Medication
10366N,MK,efavirenz 600 mg tablet; 30,Stocrin,60,258,Medication
10367P,JC,darunavir 800 mg tablet; 30,Prezista,60,664.18,Medication
10369R,RO,interferon alfa-2a 9 million units/0.5 mL injection; 0.5 mL syringe,Roferon-A,30,84.91,Medication
10370T,MK,interferon alfa-2b 10 million units/mL injection; 5 x 1 mL vials,Intron A,15,471.68,Medication
10680D,GI,tenofovir alafenamide 10 mg + emtricitabine 200 mg + elvitegravir 150 mg + cobicistat 150 mg tablet; 30,Genvoya,60,984.85,Medication
10692R,BQ,atazanavir 300 mg + cobicistat 150 mg tablet; 30,Evotaz,60,534.71,Medication
10903W,JC,darunavir 800 mg + cobicistat 150 mg tablet; 30,Prezcobix,60,647.12,Medication
10946D,GI,tenofovir alafenamide  10mg + emtricitabine 200 mg tablet; 30,Descovy 10/200,60,726.85,Medication
10966E,GI,tenofovir alafenamide  25mg + emtricitabine 200 mg tablet; 30,Descovy 25/200,60,726.85,Medication
10057H,PF,infliximab 100 mg injection; 1 vial,Inflectra,1,574.85,Medication
10057H,JC,infliximab 100 mg injection; 1 vial,Remicade,1,574.85,Medication
10060L,RO,tocilizumab 400 mg/20 mL injection; 20 mL vial,Actemra,1,670.29,Medication
10068X,RO,tocilizumab 80 mg/4 mL injection; 4 mL vial,Actemra,1,135.95,Medication
10071C,RO,tocilizumab 200 mg/10 mL injection; 10 mL vial,Actemra,1,336.9,Medication
10073E,RO,tocilizumab 80 mg/4 mL injection; 4 mL vial,Actemra,1,135.95,Medication
10078K,RO,tocilizumab 400 mg/20 mL injection; 20 mL vial,Actemra,1,670.29,Medication
10079L,RO,tocilizumab 200 mg/10 mL injection; 10 mL vial,Actemra,1,336.9,Medication
10084R,GZ,plerixafor 24 mg/1.2 mL subcutaneous infusion injection; 1.2 mL vial,Mozobil,1,6991,Medication
10110D,NV,omalizumab 75 mg/0.5 mL injection; 0.5 mL syringe,Xolair,1,205,Medication
10111E,AT,epoprostenol 500 microgram injection; 1 vial,Veletri,1,33.28,Medication
10122R,NV,omalizumab 150 mg/mL injection; 1 mL syringe,Xolair,1,410,Medication
10129D,AT,epoprostenol 1.5 mg injection; 1 vial,Veletri,1,66.55,Medication
10134J,AT,macitentan 10 mg tablet; 30,Opsumit,30,2876.47,Medication
10175M,VR,ivacaftor 150 mg tablet; 56,Kalydeco,56,22500,Medication
10182X,XI,eculizumab 300 mg/30 mL injection; 30 mL vial,Soliris,1,5937.5,Medication
10184B,JC,infliximab 100 mg injection; 1 vial,Remicade,1,574.85,Medication
10184B,PF,infliximab 100 mg injection; 1 vial,Inflectra,1,574.85,Medication
10192K,XI,eculizumab 300 mg/30 mL injection; 30 mL vial,Soliris,1,5937.5,Medication
10194M,XI,eculizumab 300 mg/30 mL injection; 30 mL vial,Soliris,1,5937.5,Medication
10230K,FN,iron (as sucroferric oxyhydroxide) 500 mg tablet: chewable; 90,Velphoro,180,376.73,Medication
10235Q,PF,apomorphine hydrochloride 10 mg/mL injection; 5 x 1 mL ampoules,Apomine,360,41.96,Medication
10243D,GZ,alemtuzumab 12 mg/1.2 mL injection; 1.2 mL vial,Lemtrada,5,11394,Medication
10246G,GZ,alemtuzumab 12 mg/1.2 mL injection; 1.2 mL vial,Lemtrada,3,11394,Medication
10263E,FK,anakinra 100 mg/0.67 mL injection; 28 x 0.67 mL syringes,Kineret,28,1650,Medication
10386P,CJ,pomalidomide 4 mg capsule; 21,Pomalyst,21,10500,Medication
10398G,TK,vedolizumab 300 mg injection; 1 vial,Entyvio,1,3105.19,Medication
10415E,TK,vedolizumab 300 mg injection; 1 vial,Entyvio,1,3105.19,Medication
10417G,CJ,pomalidomide 3 mg capsule; 21,Pomalyst,21,10500,Medication
10521R,XI,eculizumab 300 mg/30 mL injection; 30 mL vial,Soliris,1,5937.5,Medication
10542W,PF,zoledronic acid 4 mg/100 mL injection; 100 mL bag,DBL Zoledronic Acid,1,326.97,Medication
10549F,NV,octreotide 20 mg injection: modified release [1 vial] (&) inert substance diluent [2 mL syringe]; 1 pack,Sandostatin LAR,2,1739.81,Medication
10554L,NV,zoledronic acid 4 mg/100 mL injection; 100 mL vial,Zometa,1,326.97,Medication
10558Q,NV,octreotide 30 mg injection: modified release [1 vial] (&) inert substance diluent [2 mL syringe]; 1 pack,Sandostatin LAR,2,2177.46,Medication
10566D,NV,octreotide 10 mg injection: modified release [1 vial] (&) inert substance diluent [2 mL syringe]; 1 pack,Sandostatin LAR,2,1306.86,Medication
10576P,RO,rituximab 500 mg/50 mL injection; 50 mL vial,Mabthera,1,1898.92,Medication
10583B,RO,rituximab 100 mg/10 mL injection; 2 x 10 mL vials,Mabthera,2,759.57,Medication
10623D,IX,ribavirin 400 mg tablet; 28,Ibavyr,28,140,Medication
10630L,BQ,daclatasvir 30 mg tablet; 28,Daklinza,28,7666.67,Medication
10631M,BQ,daclatasvir 60 mg tablet; 28,Daklinza,28,7666.67,Medication
10635R,IX,ribavirin 400 mg tablet; 28,Ibavyr,28,140,Medication
10637W,IX,ribavirin 600 mg tablet; 28,Ibavyr,28,210,Medication
10643E,BQ,daclatasvir 30 mg tablet; 28,Daklinza,28,7666.67,Medication
10644F,BQ,daclatasvir 60 mg tablet; 28,Daklinza,28,7666.67,Medication
10653Q,GI,ledipasvir 90 mg + sofosbuvir 400 mg tablet; 28,Harvoni,28,22066.67,Medication
10654R,GI,sofosbuvir 400 mg tablet; 28,Sovaldi,28,19297.75,Medication
10672Q,GI,ledipasvir 90 mg + sofosbuvir 400 mg tablet; 28,Harvoni,28,22066.67,Medication
10675W,IX,ribavirin 600 mg tablet; 28,Ibavyr,28,210,Medication
10676X,GI,sofosbuvir 400 mg tablet; 28,Sovaldi,28,19297.75,Medication
10679C,GI,ledipasvir 90 mg + sofosbuvir 400 mg tablet; 28,Harvoni,28,22066.67,Medication
10749R,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56]; 4 x 28,Viekira Pak,1,13853.13,Medication
10750T,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56] (&) ribavirin 600 mg tablet [56]; 1 pack,Viekira Pak-RBV,1,13853.13,Medication
10753Y,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56] (&) ribavirin 200 mg tablet [168]; 1 pack,Viekira Pak-RBV,1,13853.13,Medication
10761J,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56] (&) ribavirin 200 mg tablet [168]; 1 pack,Viekira Pak-RBV,1,13853.13,Medication
10773B,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56] (&) ribavirin 600 mg tablet [56]; 1 pack,Viekira Pak-RBV,1,13853.13,Medication
1082Y,TB,filgrastim 300 microgram/0.5 mL injection; 10 x 0.5 mL syringes,TevaGrastim,20,579.22,Medication
10875J,SZ,tacrolimus 750 microgram capsule; 100,Tacrolimus Sandoz,200,187.5,Medication
10879N,SZ,tacrolimus 2 mg capsule; 100,Tacrolimus Sandoz,200,500,Medication
10880P,NV,pasireotide 20 mg injection: modified release [1 vial] (&) inert substance diluent [2 mL syringe]; 1 pack,Signifor LAR,2,3900,Medication
10884W,NV,pasireotide 40 mg injection: modified release [1 vial] (&) inert substance diluent [2 mL syringe]; 1 pack,Signifor LAR,2,3900,Medication
10887B,NV,pasireotide 60 mg injection: modified release [1 vial] (&) inert substance diluent [2 mL syringe]; 1 pack,Signifor LAR,2,3900,Medication
10923X,IX,ribavirin 200 mg tablet; 28,Ibavyr,28,70,Medication
10931H,TB,lipegfilgrastim 6 mg/0.6 mL injection; 0.6 mL syringe,Lonquex,1,1250,Medication
10938Q,IX,ribavirin 200 mg tablet; 28,Ibavyr,28,70,Medication
10956P,NV,omalizumab 75 mg/0.5 mL injection; 0.5 mL syringe,Xolair,1,205,Medication
10968G,NV,omalizumab 150 mg/mL injection; 1 mL syringe,Xolair,1,410,Medication
10971K,TD,apomorphine hydrochloride 50 mg/10 mL injection; 5 x 10 mL syringes,Movapo PFS,180,226.89,Medication
10974N,BN,riociguat 1.5 mg tablet; 42,Adempas,42,1717.71,Medication
10975P,BN,riociguat 1.5 mg tablet; 84,Adempas,84,3435.42,Medication
10979W,MK,grazoprevir 100 mg + elbasvir 50 mg tablet; 28,Zepatier,28,21000,Medication
10985E,BN,riociguat 2.5 mg tablet; 42,Adempas,42,1717.71,Medication
10990K,BN,riociguat 1 mg tablet; 42,Adempas,42,1717.71,Medication
10991L,MK,grazoprevir 100 mg + elbasvir 50 mg tablet; 28,Zepatier,28,21000,Medication
11003D,GK,mepolizumab 100 mg injection; 1 vial,Nucala,1,1638,Medication
11008J,BN,riociguat 500 microgram tablet; 84,Adempas,84,3435.42,Medication
11009K,BN,riociguat 500 microgram tablet; 42,Adempas,42,1717.71,Medication
11010L,BN,riociguat 1 mg tablet; 84,Adempas,84,3435.42,Medication
11012N,BN,riociguat 2 mg tablet; 42,Adempas,42,1717.71,Medication
11014Q,GK,mepolizumab 100 mg injection; 1 vial,Nucala,1,1638,Medication
11017W,BN,riociguat 2 mg tablet; 84,Adempas,84,3435.42,Medication
11018X,BN,riociguat 2.5 mg tablet; 84,Adempas,84,3435.42,Medication
11028K,BN,riociguat 1 mg tablet; 42,Adempas,42,1717.71,Medication
11030M,BN,riociguat 2 mg tablet; 84,Adempas,84,3435.42,Medication
11031N,BN,riociguat 500 microgram tablet; 42,Adempas,42,1717.71,Medication
11035T,BN,riociguat 2.5 mg tablet; 84,Adempas,84,3435.42,Medication
11036W,CJ,lenalidomide 5 mg capsule; 21,Revlimid,21,5122.76,Medication
11042E,CJ,lenalidomide 15 mg capsule; 21,Revlimid,21,6252.53,Medication
11044G,RO,peginterferon alfa-2a 180 microgram/0.5 mL injection; 4 x 0.5 mL syringes,Pegasys,4,1282.72,Medication
11045H,BN,riociguat 2 mg tablet; 42,Adempas,42,1717.71,Medication
11046J,BN,riociguat 1.5 mg tablet; 42,Adempas,42,1717.71,Medication
11052Q,BN,riociguat 2.5 mg tablet; 42,Adempas,42,1717.71,Medication
11055W,CJ,lenalidomide 25 mg capsule; 21,Revlimid,21,6587.49,Medication
11058B,BN,riociguat 500 microgram tablet; 84,Adempas,84,3435.42,Medication
11060D,BN,riociguat 1 mg tablet; 84,Adempas,84,3435.42,Medication
11061E,BN,riociguat 1.5 mg tablet; 84,Adempas,84,3435.42,Medication
11063G,CJ,lenalidomide 10 mg capsule; 21,Revlimid,21,5361.16,Medication
1113N,TB,filgrastim 480 microgram/0.8 mL injection; 10 x 0.8 mL syringes,TevaGrastim,20,928.53,Medication
1304P,LY,tadalafil 20 mg tablet; 56,Adcirca,56,838.53,Medication
1419Q,RO,tocilizumab 80 mg/4 mL injection; 4 mL vial,Actemra,1,135.95,Medication
1423X,RO,tocilizumab 200 mg/10 mL injection; 10 mL vial,Actemra,1,336.9,Medication
1464C,RO,tocilizumab 400 mg/20 mL injection; 20 mL vial,Actemra,1,670.29,Medication
1837Q,AF,mycophenolate Capsule 250 mg; 50,Ceptolate,600,25.63,Medication
2008Q,XA,MANNITOL Pack containing 280 capsules containing powder for inhalation 40 mg and 2 inhalers; 1,bronchitol,4,434,Medication
2435E,MK,boceprevir 200 mg capsule; 336,Victrelis,336,3920,Medication
2733W,SZ,filgrastim 480 microgram/0.5 mL injection; 5 x 0.5 mL syringes,Zarzio,20,464.26,Medication
2747N,SZ,filgrastim 300 microgram/0.5 mL injection; 5 x 0.5 mL syringes,Zarzio,20,289.61,Medication
2796E,CJ,lenalidomide 10 mg capsule; 21,Revlimid,21,5361.16,Medication
2798G,CJ,lenalidomide 5 mg capsule; 21,Revlimid,21,5122.76,Medication
5036C,GK,EPOPROSTENOL SODIUM Powder for I.V. infusion 500 micrograms (base) infusion administration set; 1,Flolan Kit,1,33.28,Medication
5042J,GK,EPOPROSTENOL SODIUM Powder for I.V. infusion 1.5 mg (base) infusion administration set; 1,Flolan Kit,1,66.55,Medication
5827Q,NV,eltrombopag 25 mg tablet; 28,Revolade,28,1512,Medication
5828R,NV,eltrombopag 50 mg tablet; 28,Revolade,28,3024,Medication
5830W,PF,filgrastim 120 microgram/0.2 mL injection; 10 x 0.2 mL syringes,Nivestim,20,231.69,Medication
6100C,CJ,azacitidine 100 mg injection; 1 vial,Vidaza,14,369.44,Medication
6100C,RZ,azacitidine 100 mg injection; 1 vial,Azadine,14,369.44,Medication
6101D,PF,clozapine 25 mg tablet; 100,Clopine 25,200,32.32,Medication
6101D,NV,clozapine 25 mg tablet; 100,Clozaril 25,200,32.32,Medication
6102E,NV,clozapine 100 mg tablet; 100,Clozaril 100,200,121.19,Medication
6102E,PF,clozapine 100 mg tablet; 100,Clopine 100,200,121.19,Medication
6109M,NV,cyclosporin 50 mg/mL injection; 10 x 1 mL ampoules,Sandimmun,10,54.1,Medication
6113R,PF,desferrioxamine mesilate 500 mg injection; 10 vials,Hospira Pty Limited,400,106.37,Medication
6120D,RO,dornase alfa 2.5 mg/2.5 mL inhalation solution; 30 x 2.5 mL ampoules,Pulmozyme,60,1121,Medication
6125J,NV,cyclosporin 100 mg/mL oral liquid; 50 mL,Neoral,4,315.79,Medication
6126K,AN,filgrastim 300 microgram/mL injection; 10 x 1 mL vials,Neupogen,20,579.22,Medication
6127L,AN,filgrastim 480 microgram/1.6 mL injection; 10 x 1.6 mL vials,Neupogen,20,928.53,Medication
6136Y,RO,ganciclovir 500 mg injection; 5 vials,Cymevene,10,266,Medication
6138C,CJ,azacitidine 100 mg injection; 1 vial,Vidaza,14,369.44,Medication
6138C,RZ,azacitidine 100 mg injection; 1 vial,Azadine,14,369.44,Medication
6148N,BY,interferon gamma-1b 2 million units (100 microgram)/0.5 mL injection; 6 x 0.5 mL vials,Imukin,12,1292.86,Medication
6152T,TX,clarithromycin 500 mg tablet; 100,APO-Clarithromycin,100,35.23,Medication
6195C,PF,rifabutin 150 mg capsule; 30,Mycobutin,120,153.75,Medication
6204M,JC,epoetin alfa 2000 units/0.5 mL injection; 6 x 0.5 mL syringes,Eprex 2000,12,245.48,Medication
6205N,JC,epoetin alfa 3000 units/0.3 mL injection; 6 x 0.3 mL syringes,Eprex 3000,12,316.78,Medication
6206P,JC,epoetin alfa 4000 units/0.4 mL injection; 6 x 0.4 mL syringes,Eprex 4000,12,403.42,Medication
6207Q,JC,epoetin alfa 10 000 units/mL injection; 6 x 1 mL syringes,Eprex 10000,12,935.89,Medication
6208R,RO,mycophenolate mofetil 250 mg capsule; 100,CellCept,600,51.26,Medication
6208R,SZ,mycophenolate mofetil 250 mg capsule; 100,Mycophenolate Sandoz,600,51.26,Medication
6208R,CR,mycophenolate mofetil 250 mg capsule; 100,Pharmacor Mycophenolate 250,600,51.26,Medication
6208R,TX,mycophenolate mofetil 250 mg capsule; 100,APO-Mycophenolate,600,51.26,Medication
6209T,RO,mycophenolate mofetil 500 mg tablet; 50,CellCept,300,51.24,Medication
6209T,TX,mycophenolate mofetil 500 mg tablet; 50,APO-Mycophenolate,300,51.24,Medication
6209T,SZ,mycophenolate mofetil 500 mg tablet; 50,Mycophenolate Sandoz,300,51.24,Medication
6209T,AF,mycophenolate mofetil 500 mg tablet; 50,Ceptolate,300,51.24,Medication
6209T,EA,mycophenolate mofetil 500 mg tablet; 50,Mycophenolate AN,300,51.24,Medication
6209T,CR,mycophenolate mofetil 500 mg tablet; 50,Pharmacor Mycophenolate 500,300,51.24,Medication
6210W,RO,interferon alfa-2a 3 million units/0.5 mL injection; 0.5 mL syringe,Roferon-A,30,28.31,Medication
6212Y,RO,interferon alfa-2a 6 million units/0.5 mL injection; 0.5 mL syringe,Roferon-A,30,56.6,Medication
6213B,RO,interferon alfa-2a 9 million units/0.5 mL injection; 0.5 mL syringe,Roferon-A,30,84.91,Medication
6216E,LL,tacrolimus 1 mg capsule; 100,Prograf,200,250.14,Medication
6216E,TX,tacrolimus 1 mg capsule; 100,TACROLIMUS APOTEX,200,250.14,Medication
6216E,AF,tacrolimus 1 mg capsule; 100,Pacrolim,200,250.14,Medication
6216E,SZ,tacrolimus 1 mg capsule; 100,Tacrolimus Sandoz,200,250.14,Medication
6216E,CR,tacrolimus 1 mg capsule; 100,Pharmacor Tacrolimus 1,200,250.14,Medication
6217F,SZ,tacrolimus 5 mg capsule; 50,Tacrolimus Sandoz,100,625.04,Medication
6217F,CR,tacrolimus 5 mg capsule; 50,Pharmacor Tacrolimus 5,100,625.04,Medication
6217F,TX,tacrolimus 5 mg capsule; 50,TACROLIMUS APOTEX,100,625.04,Medication
6217F,LL,tacrolimus 5 mg capsule; 50,Prograf,100,625.04,Medication
6217F,AF,tacrolimus 5 mg capsule; 50,Pacrolim,100,625.04,Medication
6218G,MK,interferon alfa-2b 18 million units/3 mL injection; 3 mL vial,Intron A,15,169.8,Medication
6219H,MK,interferon alfa-2b 25 million units/2.5 mL injection; 2.5 mL vial,Intron A,15,235.84,Medication
6221K,PF,azithromycin 600 mg tablet; 8,Zithromax,16,55.38,Medication
6227R,RA,octreotide 50 microgram/mL injection; 5 x 1 mL ampoules,Octreotide (SUN),90,34.39,Medication
6227R,GQ,octreotide 50 microgram/mL injection; 5 x 1 mL ampoules,Octreotide MaxRx,90,34.39,Medication
6227R,PF,octreotide 50 microgram/mL injection; 5 x 1 mL ampoules,Hospira Pty Limited,90,34.39,Medication
